"No.","Time","Source","Destination","Protocol","Length","Info"
"112","0.001187","11.0.0.210","10.42.0.2","TCP","60","22726  >  80 [SYN] Seq=0 Win=512 Len=0"
"113","0.001216","11.0.0.210","10.42.0.2","TCP","60","22728  >  80 [SYN] Seq=0 Win=512 Len=0"
"114","0.001227","11.0.0.210","10.42.0.2","TCP","60","22729  >  80 [SYN] Seq=0 Win=512 Len=0"
"115","0.001240","11.0.0.210","10.42.0.2","TCP","60","22730  >  80 [SYN] Seq=0 Win=512 Len=0"
"116","0.001247","11.0.0.210","10.42.0.2","TCP","60","22731  >  80 [SYN] Seq=0 Win=512 Len=0"
"117","0.001264","11.0.0.210","10.42.0.2","TCP","60","22732  >  80 [SYN] Seq=0 Win=512 Len=0"
"118","0.001273","11.0.0.210","10.42.0.2","TCP","60","22775  >  80 [SYN] Seq=0 Win=512 Len=0"
"119","0.001303","11.0.0.210","10.42.0.2","TCP","60","22733  >  80 [SYN] Seq=0 Win=512 Len=0"
"120","0.001326","11.0.0.210","10.42.0.2","TCP","60","22734  >  80 [SYN] Seq=0 Win=512 Len=0"
"121","0.001335","11.0.0.210","10.42.0.2","TCP","60","22735  >  80 [SYN] Seq=0 Win=512 Len=0"
"122","0.001345","11.0.0.210","10.42.0.2","TCP","60","22736  >  80 [SYN] Seq=0 Win=512 Len=0"
"123","0.001353","11.0.0.210","10.42.0.2","TCP","60","22737  >  80 [SYN] Seq=0 Win=512 Len=0"
"124","0.001362","11.0.0.210","10.42.0.2","TCP","60","22738  >  80 [SYN] Seq=0 Win=512 Len=0"
"125","0.001371","11.0.0.210","10.42.0.2","TCP","60","22739  >  80 [SYN] Seq=0 Win=512 Len=0"
"126","0.001381","11.0.0.210","10.42.0.2","TCP","60","22740  >  80 [SYN] Seq=0 Win=512 Len=0"
"127","0.001390","11.0.0.210","10.42.0.2","TCP","60","22741  >  80 [SYN] Seq=0 Win=512 Len=0"
"128","0.001399","11.0.0.210","10.42.0.2","TCP","60","22742  >  80 [SYN] Seq=0 Win=512 Len=0"
"129","0.001429","11.0.0.210","10.42.0.2","TCP","60","22813  >  80 [SYN] Seq=0 Win=512 Len=0"
"130","0.001438","11.0.0.210","10.42.0.2","TCP","60","22743  >  80 [SYN] Seq=0 Win=512 Len=0"
"131","0.001446","11.0.0.210","10.42.0.2","TCP","60","22744  >  80 [SYN] Seq=0 Win=512 Len=0"
"132","0.001455","11.0.0.210","10.42.0.2","TCP","60","22745  >  80 [SYN] Seq=0 Win=512 Len=0"
"133","0.001474","11.0.0.210","10.42.0.2","TCP","60","22746  >  80 [SYN] Seq=0 Win=512 Len=0"
"134","0.001482","11.0.0.210","10.42.0.2","TCP","60","22747  >  80 [SYN] Seq=0 Win=512 Len=0"
"135","0.001491","11.0.0.210","10.42.0.2","TCP","60","22748  >  80 [SYN] Seq=0 Win=512 Len=0"
"136","0.001499","11.0.0.210","10.42.0.2","TCP","60","22749  >  80 [SYN] Seq=0 Win=512 Len=0"
"137","0.001507","11.0.0.210","10.42.0.2","TCP","60","22750  >  80 [SYN] Seq=0 Win=512 Len=0"
"138","0.001517","11.0.0.210","10.42.0.2","TCP","60","22751  >  80 [SYN] Seq=0 Win=512 Len=0"
"139","0.001525","11.0.0.210","10.42.0.2","TCP","60","22753  >  80 [SYN] Seq=0 Win=512 Len=0"
"140","0.001534","11.0.0.210","10.42.0.2","TCP","60","22754  >  80 [SYN] Seq=0 Win=512 Len=0"
"141","0.001543","11.0.0.210","10.42.0.2","TCP","60","22755  >  80 [SYN] Seq=0 Win=512 Len=0"
"142","0.001551","11.0.0.210","10.42.0.2","TCP","60","22756  >  80 [SYN] Seq=0 Win=512 Len=0"
"143","0.001560","11.0.0.210","10.42.0.2","TCP","60","22789  >  80 [SYN] Seq=0 Win=512 Len=0"
"144","0.001568","11.0.0.210","10.42.0.2","TCP","60","22757  >  80 [SYN] Seq=0 Win=512 Len=0"
"145","0.001598","11.0.0.210","10.42.0.2","TCP","60","22767  >  80 [SYN] Seq=0 Win=512 Len=0"
"146","0.001608","11.0.0.210","10.42.0.2","TCP","60","22758  >  80 [SYN] Seq=0 Win=512 Len=0"
"147","0.001615","11.0.0.210","10.42.0.2","TCP","60","22759  >  80 [SYN] Seq=0 Win=512 Len=0"
"148","0.001627","11.0.0.210","10.42.0.2","TCP","60","22931  >  80 [SYN] Seq=0 Win=512 Len=0"
"149","0.001645","11.0.0.210","10.42.0.2","TCP","60","22984  >  80 [SYN] Seq=0 Win=512 Len=0"
"150","0.001654","11.0.0.210","10.42.0.2","TCP","60","22760  >  80 [SYN] Seq=0 Win=512 Len=0"
"151","0.001663","11.0.0.210","10.42.0.2","TCP","60","22761  >  80 [SYN] Seq=0 Win=512 Len=0"
"152","0.001671","11.0.0.210","10.42.0.2","TCP","60","22882  >  80 [SYN] Seq=0 Win=512 Len=0"
"153","0.001681","11.0.0.210","10.42.0.2","TCP","60","22762  >  80 [SYN] Seq=0 Win=512 Len=0"
"154","0.001690","11.0.0.210","10.42.0.2","TCP","60","22763  >  80 [SYN] Seq=0 Win=512 Len=0"
"155","0.001698","11.0.0.210","10.42.0.2","TCP","60","22764  >  80 [SYN] Seq=0 Win=512 Len=0"
"156","0.001707","11.0.0.210","10.42.0.2","TCP","60","22765  >  80 [SYN] Seq=0 Win=512 Len=0"
"157","0.001715","11.0.0.210","10.42.0.2","TCP","60","22769  >  80 [SYN] Seq=0 Win=512 Len=0"
"158","0.001724","11.0.0.210","10.42.0.2","TCP","60","22770  >  80 [SYN] Seq=0 Win=512 Len=0"
